# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	345520
#@/user_id	de2906ef-e74d-4ea7-bed0-6466917abe46
a 	啊	c=1163 d=4.67475 t=345520
yi qie 	一切	c=12 d=1 t=302920
yi qing 	疫情	c=9 d=1 t=92513
yi qing 	移情	c=2 d=1.01869 t=205456
yi qu 	一去	c=1 d=1 t=261230
yi quan 	一圈	c=8 d=1 t=330476
yi qun 	一群	c=0 d=0.1 t=259633
yi ran 	亦然	c=2 d=1 t=288553
yi ren 	一人	c=1 d=1 t=326685
yi ren 	宜人	c=1 d=1 t=36046
yi ren 	艺人	c=1 d=1 t=48121
yi ri 	一日	c=12 d=1 t=339084
yi sao 	已扫	c=2 d=1.00187 t=273372
yi shang 	以上	c=27 d=1 t=338467
yi sheng 	一声	c=1 d=1 t=155534
yi sheng 	医生	c=43 d=1 t=341694
yi sheng jun 	益生菌	c=2 d=1 t=307252
yi shi 	一世	c=1 d=1 t=58927
yi shi 	仪式	c=2 d=1.09418 t=176488
yi shi 	意识	c=8 d=1 t=299557
yi shi 	遗失	c=33 d=1 t=333769
yi shi gan 	仪式感	c=1 d=1 t=176477
yi shi liang 	遗失量	c=3 d=1 t=277441
yi shi tong ren 	一视同仁	c=1 d=1 t=299636
yi shi yong 	已使用	c=1 d=1 t=146548
yi shou 	一手	c=2 d=1 t=278280
yi shou 	一首	c=2 d=0.0031042 t=345520
yi shu 	一书	c=1 d=1 t=266889
yi shu 	艺术	c=5 d=1 t=114068
yi shun jian 	一瞬间	c=1 d=1 t=216962
yi shuo 	一说	c=1 d=1 t=125622
yi si 	意思	c=264 d=0.159 t=345520
yi si 	疑似	c=6 d=1 t=233998
yi si shi 	意思是	c=2 d=1 t=269676
yi ta hu tu 	一塌糊涂	c=1 d=1 t=318295
yi tai 	一台	c=2 d=1 t=124431
yi tang 	一趟	c=8 d=1 t=213547
yi tao 	一套	c=52 d=3.61382 t=319461
yi ti 	一体	c=1 d=1 t=330139
yi ti 	一提	c=1 d=1 t=303209
yi ti 	一题	c=7 d=1 t=201187
yi ti 	议题	c=1 d=1 t=115276
yi ti hua 	一体化	c=1 d=1 t=224386
yi tian 	一天	c=87 d=1.00001 t=326929
yi tian zhong 	一天钟	c=1 d=1 t=228180
yi tiao 	一条	c=33 d=0.0269521 t=345520
yi tiao 	一跳	c=1 d=1 t=81586
yi tong 	一同	c=1 d=1 t=154232
yi tong 	一通	c=1 d=1 t=16624
yi tong 	异同	c=5 d=1 t=290620
yi tong guo 	已通过	c=1 d=0.0306538 t=345520
yi tou 	一头	c=2 d=1 t=343476
yi tu 	意图	c=7 d=1.97045 t=308238
yi tuan 	一团	c=3 d=2.59945 t=345100
yi tuan zao 	一团糟	c=1 d=1 t=146087
yi wai 	意外	c=9 d=1 t=285442
yi wai de 	意外的	c=1 d=1 t=126966
yi wan 	一万	c=2 d=1 t=315116
yi wan 	一碗	c=1 d=1 t=157723
yi wan 	亿万	c=1 d=1 t=30100
yi wan cheng 	已完成	c=1 d=1 t=232846
yi wan ju 	一万句	c=1 d=1 t=146013
yi wan shang 	一晚上	c=2 d=1.2466 t=144927
yi wang 	遗忘	c=1 d=1 t=39644
yi wei 	一位	c=7 d=0.000315927 t=345520
yi wei 	一味	c=1 d=1 t=123383
yi wei 	以为	c=28 d=1 t=343972
yi wei 	意味	c=11 d=1 t=323331
yi wei zhe 	意味着	c=11 d=1 t=334716
yi wen 	一问	c=1 d=1 t=106822
yi wen 	疑问	c=10 d=1 t=315323
yi wu 	义乌	c=2 d=1 t=345517
yi wu 	衣物	c=1 d=1 t=294292
yi xi 	依稀	c=1 d=1 t=292947
yi xi lie 	一系列	c=12 d=1 t=305329
yi xia 	一下	c=780 d=1.11416 t=345520
yi xia 	以下	c=7 d=0.00697795 t=345520
yi xia wu 	一下无	c=1 d=1 t=23151
yi xia zi 	一下子	c=2 d=1 t=292647
yi xian 	一线	c=20 d=1.01832 t=301864
yi xiang 	一项	c=6 d=1 t=264417
yi xiang 	异乡	c=1 d=1 t=254502
yi xiang 	意向	c=3 d=1 t=311072
yi xiang bu dao 	意想不到	c=2 d=1 t=126557
yi xiang xiang 	一项项	c=1 d=1 t=48398
yi xiao 	一笑	c=1 d=1 t=308566
yi xiao jian da 	以小见大	c=1 d=0.00491728 t=345520
yi xiao shi 	一小时	c=1 d=1 t=91752
yi xiao shi hou 	一小时候	c=1 d=1 t=257501
yi xie 	一些	c=170 d=1.00138 t=344871
yi xin 	一心	c=4 d=1 t=314173
yi xing gong chang 	异星工厂	c=1 d=1 t=144908
yi xiu 	一宿	c=1 d=1 t=340369
yi yan 	一眼	c=8 d=1 t=345487
yi yan nan jin 	一言难尽	c=1 d=1 t=213484
yi yang 	一样	c=211 d=0.341308 t=345520
yi yang 	异样	c=7 d=3.98675 t=281225
yi yang de 	一样的	c=1 d=1 t=329805
yi yang jiu 	一样就	c=1 d=1 t=233549
yi yang ren 	一样人	c=1 d=1 t=186499
yi ye 	一夜	c=1 d=1 t=254678
yi yi 	一一	c=2 d=1 t=220376
yi yi 	依依	c=8 d=2.80744 t=241981
yi yi 	意义	c=34 d=1 t=323813
yi yi dui ying 	意义对应	c=2 d=1.82283 t=183136
yi yong 	易用	c=7 d=1 t=279511
yi you 	已有	c=5 d=1 t=256353
yi yu 	易于	c=11 d=1 t=288967
yi yuan 	医院	c=33 d=0.000116806 t=345520
yi yuan 	意愿	c=4 d=1 t=188286
yi yue 	一月	c=1 d=1 t=337748
yi zai 	一再	c=1 d=1 t=135647
yi zai 	已在	c=1 d=1 t=342479
yi zai 	移栽	c=1 d=1 t=39759
yi zao 	一早	c=2 d=1 t=247771
yi zao qi lai 	一早起来	c=1 d=1 t=138390
yi zhan 	一站	c=82 d=1 t=246390
yi zhan 	驿站	c=2 d=0.00182715 t=345520
yi zhan de 	一站的	c=1 d=1 t=74000
yi zhan shi 	一站式	c=2 d=1.98511 t=197537
yi zhang 	一张	c=19 d=1 t=343111
yi zhang pian 	一张片	c=1 d=1 t=178479
yi zhao 	一招	c=1 d=1 t=33250
yi zhen 	一针	c=1 d=1 t=76647
yi zhen 	一阵	c=2 d=1 t=320300
yi zhen zi 	一阵子	c=1 d=1 t=212264
yi zheng 	一整	c=1 d=0.100206 t=127574
yi zheng tian 	一整天	c=4 d=1 t=252567
yi zheng yue 	一整月	c=2 d=1.79453 t=127621
yi zhi 	一只	c=2 d=1 t=115509
yi zhi 	一直	c=75 d=0.0555762 t=345520
yi zhi 	一致	c=96 d=1.0599 t=344882
yi zhi 	义肢	c=1 d=1 t=266539
yi zhi 	已知	c=4 d=1 t=187647
yi zhi 	移植	c=20 d=0.1 t=280632
yi zhi 	遗址	c=0 d=0.1 t=212633
yi zhi du xiu 	一枝独秀	c=1 d=1 t=263273
yi zhi gong yuan 	遗址公园	c=1 d=1 t=212634
yi zhi xing 	一致性	c=14 d=1 t=299799
yi zhi xing 	移植性	c=2 d=1.96079 t=280641
yi zhi yu 	以至于	c=2 d=1 t=152499
yi zhong 	一种	c=111 d=0.807187 t=345520
yi zhong wei shi 	以终为始	c=4 d=1.00053 t=302043
yi zhou 	一周	c=27 d=0.00326335 t=345520
yi zi 	一字	c=1 d=1 t=94672
yi zou 	一走	c=1 d=1 t=46199
yi zou 	移走	c=1 d=1 t=288245
yi zu 	一组	c=15 d=1 t=338236
yi zuo 	一座	c=1 d=1 t=273452
yin 	因	c=58 d=1 t=329627
yin 	垠	c=1 d=1 t=41078
yin 	尹	c=7 d=1 t=219482
yin 	引	c=1 d=0.410656 t=345520
yin 	殷	c=1 d=1 t=52322
yin 	银	c=1 d=1 t=46596
yin 	阴	c=90 d=1 t=337270
yin 	隐	c=1 d=1 t=281210
yin 	音	c=5 d=0.0639279 t=345520
yin bi 	隐蔽	c=1 d=1 t=217591
yin biao 	音标	c=3 d=1 t=227649
yin cang 	隐藏	c=7 d=1 t=322309
yin ci 	因此	c=3 d=1 t=246921
yin dan 	银弹	c=2 d=1 t=255288
yin dao 	引导	c=6 d=1 t=333967
yin dong 	殷栋	c=2 d=1.93707 t=52352
yin du 	印度	c=1 d=1 t=227665
yin er 	银耳	c=1 d=1 t=72334
yin fa 	引发	c=6 d=1 t=183863
yin gai 	因改	c=2 d=1 t=134704
yin gou 	阴沟	c=1 d=1 t=123134
yin gu 	因故	c=1 d=1 t=7003
yin guo 	因果	c=2 d=1.00564 t=155299
yin guo xing 	因果性	c=1 d=1 t=154091
yin han 	隐含	c=3 d=1 t=208320
yin hang 	银行	c=27 d=1.99501 t=337335
yin hao 	引号	c=4 d=2.02424 t=344777
yin huan 	隐患	c=4 d=0.0218184 t=345520
yin liang 	阴凉	c=1 d=1 t=329140
yin liu 	引流	c=1 d=1 t=140911
yin qi 	引起	c=19 d=1 t=308135
yin qing 	引擎	c=44 d=1 t=226904
yin ren ru sheng 	引人入胜	c=1 d=0.00351752 t=345520
yin ru 	引入	c=29 d=1 t=299738
yin she 	因设	c=1 d=1 t=108737
yin shen 	引申	c=7 d=1 t=276237
yin shi 	隐式	c=1 d=1 t=34058
yin shu 	因数	c=1 d=1 t=111615
yin si 	隐私	c=2 d=1 t=76012
yin su 	因素	c=8 d=1 t=325871
yin tai 	银泰	c=0 d=0.1 t=163899
yin tian 	阴天	c=2 d=1 t=48536
yin wei 	因为	c=224 d=1.00034 t=338709
yin xiang 	印象	c=8 d=0.00111378 t=345520
yin xing 	银星	c=1 d=1 t=52609
yin xing 	银杏	c=2 d=1.88692 t=265289
yin xing 	隐形	c=1 d=1 t=4422
yin xing 	音形	c=2 d=1.99005 t=341178
yin yi 	音译	c=1 d=1 t=253209
yin yin 	隐隐	c=0 d=0.1 t=127935
yin yin zuo tong 	隐隐作痛	c=1 d=1 t=127936
yin yong 	引用	c=33 d=0.00377257 t=345520
yin yu 	阴雨	c=2 d=1 t=327720
yin yue 	音乐	c=12 d=1.94176 t=343944
yin zhang 	印章	c=1 d=1 t=137723
yin zhen zhi ke 	饮鸩止渴	c=1 d=1 t=11456
yin zheng 	印证	c=2 d=1 t=172453
yin zhuan 	阴转	c=1 d=1 t=47077
yin zi 	因子	c=1 d=1 t=45885
yin zi 	引自	c=1 d=1 t=54451
ying 	应	c=256 d=1.03321 t=341990
ying 	硬	c=18 d=1 t=270337
ying 	英	c=4 d=1 t=296415
ying 	莹	c=1 d=1 t=260796
ying 	营	c=1 d=1 t=282377
ying 	赢	c=5 d=1 t=338643
ying 	迎	c=1 d=1 t=196516
ying 	颖	c=1 d=1 t=278264
ying bang bang 	硬梆梆	c=2 d=1.99501 t=42834
ying bang bang 	硬邦邦	c=1 d=1 t=42836
ying bi 	硬笔	c=5 d=1 t=92531
ying bian ma 	硬编码	c=1 d=1 t=101369
ying cao zuo 	应操作	c=1 d=1 t=248114
ying da 	应答	c=1 d=1 t=140457
ying da 	应达	c=2 d=1.62189 t=304439
ying dang 	应当	c=1 d=1 t=249149
ying dao 	应到	c=19 d=1 t=290014
ying dao wei dao 	应到未到	c=1 d=1 t=272101
ying de 	应得	c=1 d=1 t=211242
ying de chao 	应得超	c=3 d=1 t=226242
ying de chao 	应德超	c=1 d=1 t=105825
ying dong 	应动	c=1 d=1 t=301229
ying dui 	应对	c=8 d=1 t=295956
ying fan kui 	应反馈	c=1 d=1 t=290899
ying fu 	应付	c=2 d=1 t=298224
ying gai 	应该	c=1167 d=1.73786 t=345520
ying gai shuo 	应该说	c=1 d=1 t=345293
ying gai you 	应该有	c=1 d=1 t=13416
ying ge li 	硬隔离	c=1 d=1 t=147876
ying geng 	应更	c=1 d=1 t=32568
ying hu 	应胡	c=1 d=1 t=98326
ying jian 	硬件	c=9 d=1 t=305898
ying jiao 	应交	c=13 d=9.6701 t=272188
ying jie 	迎接	c=1 d=1 t=302278
ying jing 	应景	c=1 d=1 t=202710
ying kang 	硬扛	c=1 d=1 t=204924
ying ke 	硬壳	c=1 d=1 t=32704
ying kui 	盈亏	c=1 d=1 t=290286
ying lai 	迎来	c=4 d=3.5653 t=11779
ying lan 	应揽	c=69 d=1.98515 t=340717
ying lan shou 	应揽收	c=1 d=1 t=279572
ying li 	盈利	c=41 d=1.00005 t=339248
ying li 	营利	c=7 d=2.86014 t=325413
ying liang 	应量	c=1 d=1 t=279041
ying pai 	应派	c=175 d=1.99501 t=335119
ying pai ri 	应派日	c=3 d=2.82259 t=314335
ying pan 	硬盘	c=5 d=1.90484 t=238752
ying pan de 	硬盘的	c=1 d=1 t=42996
ying peng 	应碰	c=3 d=1.85214 t=304769
ying qian 	应签	c=2 d=1.9802 t=342004
ying qing 	硬晴	c=1 d=1 t=101461
ying rao 	萦绕	c=1 d=1 t=46968
ying sao 	应扫	c=2 d=1.97531 t=272109
ying she 	映射	c=59 d=1 t=331292
ying she biao 	映射表	c=5 d=1.70117 t=315991
ying shen 	应深	c=1 d=1 t=108738
ying shi 	影视	c=1 d=0.00701293 t=345520
ying shou 	营收	c=3 d=1 t=204665
ying su 	应诉	c=2 d=1 t=110111
ying wei 	应为	c=3 d=1 t=183238
ying wen 	英文	c=51 d=0.0933834 t=345520
ying wen ming 	英文名	c=9 d=1 t=306402
ying wu 	硬物	c=2 d=1 t=266878
ying xiang 	影响	c=292 d=1.00019 t=342038
ying xiang 	映像	c=1 d=1 t=289653
ying xiang dian 	影响点	c=1 d=1 t=200219
ying xiang du 	影响度	c=5 d=1.71177 t=262500
ying xiao 	营销	c=8 d=1 t=297959
ying xing 	硬性	c=1 d=1 t=166727
ying xiong 	英雄	c=2 d=1.9802 t=257828
ying yang 	营养	c=1 d=1 t=32020
ying ye 	营业	c=13 d=1.1576 t=344212
ying ye e 	营业额	c=1 d=1 t=190431
ying ying 	盈盈	c=1 d=1 t=202910
ying yong 	应用	c=589 d=1 t=345020
ying yong ceng 	应用层	c=1 d=1 t=249124
ying yong xing 	应用型	c=1 d=1 t=134629
ying yu 	英语	c=25 d=1 t=343290
ying yue 	映月	c=1 d=1 t=269742
ying zhao 	映照	c=1 d=1 t=326730
ying zou dong 	应走动	c=1 d=1 t=185850
yo 	哟	c=3 d=1 t=267270
yong 	勇	c=1 d=1 t=21394
yong 	永	c=4 d=1 t=292248
yong 	涌	c=1 d=1 t=119491
yong 	用	c=1230 d=0.830749 t=345520
yong bao 	拥抱	c=4 d=1 t=304652
yong bu dao 	用不到	c=1 d=1 t=122310
yong can 	用餐	c=8 d=1 t=294351
yong can zhe 	用餐者	c=1 d=1 t=188157
yong chang 	用场	c=1 d=1 t=271333
yong che 	用车	c=2 d=1 t=254531
yong chu 	用处	c=27 d=1 t=333431
yong ci 	用词	c=2 d=1 t=308133
yong dao 	用到	c=38 d=1.95123 t=336612
yong dao le 	用到了	c=1 d=1 t=173592
yong de 	用得	c=1 d=1 t=49681
yong de 	用的	c=23 d=1.69791 t=335395
yong dian 	用电	c=1 d=1 t=300865
yong duo 	勇夺	c=1 d=1 t=105873
yong fa 	用法	c=7 d=0.156453 t=345520
yong gan 	勇敢	c=1 d=1 t=247182
yong ge yi jiang shui 	永隔一江水	c=1 d=1 t=285611
yong gong 	用工	c=1 d=1 t=20069
yong guo 	用过	c=5 d=1 t=230055
yong hu 	用户	c=719 d=0.0590129 t=345520
yong hu m 	用户呒	c=2 d=1 t=180673
yong hu ming 	用户名	c=24 d=1 t=294573
yong hu ren zheng 	用户认证	c=1 d=1 t=98198
yong hui 	永辉	c=1 d=1 t=233691
yong ji 	拥挤	c=1 d=1 t=111639
yong jin 	佣金	c=1 d=1 t=190381
yong jin 	用尽	c=1 d=1 t=183872
yong jiu 	永久	c=8 d=1 t=330415
yong lai 	用来	c=9 d=1 t=319669
yong lan 	慵懒	c=1 d=1 t=237329
yong li 	用例	c=17 d=1 t=258392
yong liang 	用量	c=0 d=0.1 t=190053
yong qi 	勇气	c=1 d=1 t=48599
yong qi lai 	用起来	c=9 d=1.00101 t=343349
yong qian 	用钱	c=2 d=1 t=134786
yong shang 	用上	c=4 d=1.00211 t=327448
yong shui 	用水	c=1 d=1 t=266325
yong tu 	用途	c=62 d=1.05784 t=337738
yong xin 	用心	c=1 d=1 t=6045
yong yi 	用以	c=1 d=1 t=111331
yong yi 	用意	c=1 d=1 t=300518
yong yong 	用用	c=9 d=1 t=332940
yong you 	拥有	c=10 d=1 t=336507
yong yu 	用于	c=211 d=1.00002 t=344845
yong yuan 	永远	c=4 d=1 t=206117
yong zai 	用在	c=5 d=1 t=333434
yong zhe 	用着	c=3 d=1 t=202772
yong zhe ge 	用这个	c=2 d=1.36604 t=324250
yong zhi ding 	用指定	c=1 d=1 t=232796
yong zuo 	用作	c=3 d=1 t=110039
you 	优	c=3 d=1 t=290666
you 	又	c=346 d=1.00874 t=345520
you 	友	c=1 d=1 t=2322
you 	右	c=30 d=1.97531 t=332055
you 	尤	c=0 d=0.1 t=240881
you 	有	c=2659 d=1.47288 t=345520
you 	油	c=3 d=1 t=122574
you 	游	c=1 d=1 t=219422
you 	由	c=134 d=1.12129 t=328877
you bao xia 	油爆虾	c=2 d=1.90937 t=326165
you bei wu huan 	有备无患	c=1 d=1 t=154226
you bi yao 	有必要	c=3 d=1 t=318705
you bian 	右边	c=8 d=1 t=325269
you bian 	邮编	c=1 d=1 t=298684
you bu neng 	又不能	c=1 d=1 t=272371
you bu shi 	又不是	c=4 d=1 t=324829
you ce 	右侧	c=8 d=1 t=265667
you chang 	有偿	c=5 d=2.53062 t=322855
you chong 	幼虫	c=1 d=1 t=32710
you chuan 	游船	c=1 d=1 t=211214
you ci 	由此	c=1 d=1 t=190413
you dao wei pai 	有到未派	c=1 d=1 t=276653
you de 	有的	c=1 d=1 t=3181
you di 	邮递	c=1 d=1 t=119875
you dian 	优点	c=2 d=1.00024 t=33001
you dian 	有点	c=141 d=1.00002 t=345312
you dian er 	有点儿	c=37 d=1.00003 t=345513
you dian huang 	有点慌	c=2 d=1 t=76631
you dian jian nan 	有点艰难	c=1 d=1 t=30560
you dian tian 	有点甜	c=1 d=1 t=226897
you er yuan 	幼儿园	c=12 d=1 t=330336
you fa 	诱发	c=1 d=1 t=133456
you fei 	邮费	c=1 d=1 t=119900
you gan 	有感	c=1 d=1 t=29819
you ge 	有个	c=50 d=1 t=331139
you ge ren 	有个人	c=1 d=1 t=51196
you guan 	有关	c=20 d=1.00016 t=332221
you guan 	邮管	c=2 d=1 t=64018
you guan ju 	邮管局	c=3 d=1 t=35609
you guan xi 	有关系	c=2 d=1 t=170699
you guang 	油光	c=1 d=1 t=329316
you guo 	有过	c=1 d=1 t=344448
you hai 	有害	c=1 d=1 t=252002
you hao 	友好	c=5 d=1 t=328327
you hua 	优化	c=216 d=0.107854 t=345520
you hua hou 	优化后	c=1 d=1 t=259118
you hui 	优惠	c=3 d=1 t=269744
you hui 	又会	c=2 d=1 t=308575
you hui 	有会	c=1 d=1 t=176132
you ji 	邮寄	c=2 d=1 t=227491
you ji hui 	有机会	c=2 d=1 t=267796
you jia 	有加	c=0 d=0.1 t=162364
you jian 	右键	c=1 d=1 t=177135
you jian 	油煎	c=1 d=1 t=42167
you jian 	邮件	c=217 d=1.19077 t=345520
you jian ke hu duan 	邮件客户端	c=1 d=1 t=334209
you jian lei 	邮件类	c=1 d=1 t=180994
you jian li 	邮件里	c=1 d=1 t=298946
you jian zhong 	邮件中	c=1 d=1 t=181014
you jie 	有界	c=2 d=1.03744 t=33477
you jie 	有解	c=1 d=1 t=329752
you jiu 	有就	c=1 d=1 t=88374
you ju 	有句	c=1 d=1 t=176272
you ju 	邮局	c=1 d=1 t=209511
you ju ke cha 	有据可查	c=1 d=1 t=23835
you ke neng 	有可能	c=11 d=1 t=340503
you kong 	有空	c=40 d=0.0233566 t=345520
you lai 	由来	c=1 d=1 t=173868
you le 	有了	c=5 d=1.81058 t=289267
you li 	有力	c=2 d=1.99501 t=301500
you li 	有礼	c=0 d=0.1 t=312802
you li yu 	有利于	c=2 d=1 t=284654
you li zhe jing ren 	有礼者敬人	c=1 d=1 t=312803
you liang 	优良	c=1 d=1 t=175765
you lie 	优劣	c=1 d=1 t=200613
you ma 	邮码	c=2 d=1 t=246217
you mei 	优美	c=3 d=1 t=184429
you mei shi 	有没事	c=1 d=1 t=108946
you mei shou 	有没收	c=1 d=1 t=309284
you mei yong 	有没用	c=1 d=1 t=104072
you mei you 	有没有	c=258 d=0.263653 t=345520
you mu gong du 	有目共睹	c=1 d=1 t=300228
you mu lu 	有目录	c=1 d=0.0031354 t=345520
you neng 	又能	c=2 d=1 t=245354
you ni 	油腻	c=0 d=0.1 t=39592
you ni nan 	油腻男	c=1 d=1 t=39593
you pai yun 	又拍云	c=1 d=1 t=277132
you qi 	尤其	c=5 d=1 t=325783
you qi 	油漆	c=1 d=1 t=18912
you qian 	有钱	c=7 d=1 t=341874
you qing 	有请	c=2 d=1 t=295533
you qu 	又去	c=1 d=0.00143728 t=345520
you qu 	有趣	c=4 d=0.0342 t=345520
you ren 	有人	c=13 d=1 t=338588
you ren 	诱人	c=1 d=1 t=157476
you ren kan 	有人看	c=1 d=1 t=176464
you sha 	有啥	c=16 d=1.00002 t=338725
you shang 	友商	c=1 d=1 t=319635
you shang 	右上	c=2 d=1 t=258530
you shang 	有伤	c=1 d=1 t=287836
you shang jiao 	右上角	c=2 d=1 t=213132
you shen me 	有什么	c=2 d=1 t=238914
you sheng jiang 	优胜奖	c=1 d=1 t=39056
you shi 	优势	c=8 d=1 t=289658
you shi 	又是	c=13 d=1 t=329872
you shi 	幼师	c=1 d=1 t=340802
you shi 	有事	c=1 d=1 t=8189
you shi 	有时	c=8 d=1.96079 t=281195
you shi hou 	有时候	c=12 d=1 t=343366
you shi hui 	有实惠	c=1 d=1 t=288184
you shi jian 	有时间	c=7 d=1 t=332301
you shi yi lai 	有史以来	c=1 d=1 t=109131
you shou 	右手	c=1 d=1 t=33174
you shu 	有数	c=1 d=1 t=48000
you shui 	有谁	c=1 d=1 t=273415
you suo 	有所	c=6 d=1.01278 t=264424
you tan 	有痰	c=10 d=1.01892 t=338630
you tou 	有头	c=1 d=1 t=147357
you tu 	有图	c=1 d=1 t=273813
you wan 	游玩	c=1 d=1 t=187408
you wang 	有望	c=2 d=1 t=259196
you wen 	油温	c=1 d=1 t=76476
you wen bi da 	有问必答	c=1 d=1 t=2734
you wen ti 	有问题	c=3 d=1 t=312902
you wu 	有无	c=11 d=1 t=331832
you wu 	有误	c=2 d=1 t=334589
you xi 	有戏	c=8 d=1.99501 t=314537
you xi 	游戏	c=21 d=1 t=343827
you xi ka 	游戏卡	c=1 d=1 t=199100
you xia 	游侠	c=0 d=0.1 t=308775
you xia wang 	游侠网	c=1 d=1 t=308776
you xian 	优先	c=88 d=1 t=345197
you xian 	有线	c=2 d=1.9802 t=43222
you xian 	有限	c=27 d=1 t=342096
you xian ji 	优先级	c=25 d=1.97045 t=321985
you xiang 	邮箱	c=27 d=1 t=333221
you xiao 	有效	c=55 d=1 t=344959
you xiao qi 	有效期	c=1 d=1 t=74796
you xiao xing 	有效性	c=3 d=1 t=289959
you xie 	有些	c=53 d=0.543351 t=345520
you xie hua 	有些话	c=1 d=1 t=287420
you xiu 	优秀	c=7 d=1.00002 t=318259
you xu 	有序	c=1 d=1 t=30003
you ya 	优雅	c=1 d=1 t=15296
you yan 	右眼	c=1 d=1 t=187015
you yao 	又要	c=1 d=1 t=43425
you yi 	右移	c=1 d=1 t=21352
you yi 	有一	c=1 d=1 t=241697
you yi shuo yi 	有一说一	c=1 d=1 t=40597
you yi xie 	有一些	c=1 d=1 t=167081
you yong 	有用	c=38 d=1 t=333690
you yong 	游泳	c=2 d=1.76721 t=220614
you you you 	有有有	c=1 d=1 t=116773
you yu 	优于	c=1 d=1 t=25685
you yu 	犹豫	c=2 d=1 t=296420
you yu 	由于	c=33 d=1.06995 t=301907
you yuan 	游园	c=1 d=0.1 t=303146
you yuan jing meng 	游园惊梦	c=1 d=1 t=303147
you yue gan 	优越感	c=1 d=1 t=311021
you zha 	油炸	c=1 d=1 t=76473
you zhe dian 	悠着点	c=5 d=1 t=212656
you zheng 	邮政	c=4 d=1.09753 t=128789
you zheng ka 	邮政卡	c=1 d=1 t=128785
you zhi 	优质	c=1 d=1 t=52165
you zhu yu 	有助于	c=1 d=1 t=327477
yu 	与	c=250 d=0.0191987 t=345520
yu 	于	c=94 d=1 t=331285
yu 	余	c=12 d=1 t=328194
yu 	域	c=27 d=1 t=304063
yu 	宇	c=6 d=1 t=259793
yu 	御	c=0 d=0.1 t=303145
yu 	愈	c=0 d=0.1 t=186980
yu 	玉	c=2 d=1 t=324175
yu 	舆	c=1 d=1 t=46268
yu 	语	c=5 d=1 t=323537
yu 	遇	c=3 d=1 t=59591
yu 	雨	c=47 d=1 t=341936
yu 	预	c=43 d=1.5166 t=330962
yu 	鱼	c=7 d=1.17153 t=326649
yu an 	预案	c=2 d=1 t=27713
yu bao 	预报	c=1 d=1 t=322594
yu bei 	预备	c=2 d=1 t=110001
yu ce 	预测	c=18 d=1 t=292708
yu chen 	毓宸	c=1 d=1 t=164980
yu chu li 	预处理	c=10 d=1 t=345421
yu cun 	预存	c=1 d=1 t=300842
yu dao 	遇到	c=28 d=1 t=270905
yu dao de 	遇到的	c=3 d=2.13741 t=145435
yu di 	余地	c=1 d=1 t=66475
yu dian 	雨点	c=1 d=1 t=326420
yu ding 	预订	c=6 d=1 t=328175
yu ding yi 	与定义	c=1 d=1 t=225618
yu ding yi 	预定义	c=1 d=1 t=225619
yu e 	余额	c=9 d=1 t=294352
yu fa 	语法	c=30 d=2.64858 t=343409
yu fa shu 	语法树	c=1 d=1 t=39949
yu fang 	预防	c=5 d=1 t=266926
yu fou 	与否	c=2 d=1 t=252357
yu gou jian 	预构建	c=1 d=1 t=130249
yu gu 	预估	c=9 d=1 t=303672
yu hang 	余杭	c=1 d=1.09501 t=23643
yu hang qu 	余杭区	c=1 d=1 t=23644
yu he 	愈合	c=1 d=0.744532 t=345520
yu hua yuan 	御花园	c=1 d=1 t=303146
yu hui 	宇辉	c=20 d=1 t=135822
yu ji 	雨季	c=1 d=1 t=253160
yu ji 	预计	c=113 d=1 t=343017
yu jia 	余家	c=0 d=0.1 t=320303
yu jia 	瑜伽	c=2 d=1 t=297326
yu jia le 	余家乐	c=1 d=1 t=320304
yu jian 	预见	c=1 d=1 t=267729
yu jing 	语境	c=1 d=1 t=199963
yu jing 	预警	c=11 d=1 t=342113
yu ju 	语句	c=16 d=1 t=343572
yu kuai 	愉快	c=3 d=1 t=302327
yu lan 	预览	c=1 d=1 t=135574
yu liang 	余量	c=1 d=1 t=340989
yu liu 	预留	c=6 d=1.03115 t=176938
yu long 	玉龙	c=1 d=1 t=52572
yu lun 	舆论	c=1 d=1 t=41119
yu men 	郁闷	c=1 d=1 t=231762
yu mi 	玉米	c=3 d=1 t=228710
yu ming 	域名	c=54 d=1.75201 t=341284
yu niao 	愈鸟	c=1 d=1 t=324174
yu niao 	玉鸟	c=2 d=1.94176 t=324188
yu pan 	预判	c=1 d=1 t=13222
yu qi 	与其	c=2 d=1 t=237838
yu qi 	预期	c=35 d=1.99005 t=271743
yu ren 	与人	c=1 d=1 t=312804
yu rong 	羽绒	c=1 d=1 t=131356
yu rong fu 	羽绒服	c=1 d=1 t=303271
yu ruo 	愈弱	c=1 d=1 t=186983
yu san 	雨伞	c=1 d=1 t=48220
yu shang 	遇上	c=1 d=1 t=233282
yu she 	预设	c=1 d=1 t=92969
yu shi 	浴室	c=1 d=1 t=29676
yu shi 	预示	c=1 d=1 t=155325
yu shui 	雨水	c=2 d=1 t=324195
yu shuo 	禹铄	c=20 d=3.22683 t=48423
yu suan 	预算	c=1 d=1 t=307046
yu tao 	玉涛	c=4 d=1 t=132549
yu tian 	雨天	c=1 d=1 t=233294
